井上压力（MPa）,注水流量（L/Min）,回水流量（L/Min）,注入量（L）,回流量（L）,,,,,,
0.249143288,9.063700197,-0.015497718,135.1781539,-51.17365143,,,,,,
0.403723939,9.066920627,-0.013887503,135.1857096,-51.173663,,,,,,
0.234651352,9.063700197,-0.014692611,135.1932627,-51.17367524,,,,,,
0.355417486,9.070141057,-0.014692611,135.2008212,-51.17368749,,,,,,
0.389232003,9.063700197,-0.016302826,135.2083742,-51.17370107,,,,,,
0.35058684,8.748098035,-0.017913041,135.2156643,-51.173716,,,,,,
0.355417486,8.762589971,-0.016302826,135.2229665,-51.17372959,,,,,,
0.331264259,8.754538895,-0.014692611,135.2302619,-51.17374183,,,,,,
0.403723939,8.75614911,-0.025159009,135.2375587,-51.1737628,,,,,,
0.403723939,8.754538895,-0.00825175,135.2448542,-51.17376967,,,,,,
0.326433614,8.760174648,-0.013082395,135.2521543,-51.17378058,,,,,,
0.418215875,8.599153137,-0.014692611,135.2593203,-51.17379282,,,,,,
0.292619096,8.604788889,-0.016302826,135.2664909,-51.1738064,,,,,,
0.452030392,8.597542921,-0.017107933,135.2736556,-51.17382066,,,,,,
0.297449742,8.603983782,-0.017913041,135.2808255,-51.17383559,,,,,,
0.437538456,8.595127599,-0.018718148,135.2879882,-51.17385119,,,,,,
0.307111032,8.598348029,-0.017913041,135.2951534,-51.17386612,,,,,,
0.379570712,8.286771405,-0.016302826,135.3020591,-51.1738797,,,,,,
0.34092555,8.282745867,-0.020328363,135.3089614,-51.17389664,,,,,,
0.389232003,8.280330544,-0.024353901,135.3158616,-51.17391694,,,,,,
0.384401358,8.282745867,-0.020328363,135.3227639,-51.17393388,,,,,,
0.365078776,8.284356082,-0.013887503,135.3296676,-51.17394545,,,,,,
0.26846587,8.284356082,-0.017913041,135.3365712,-51.17396038,,,,,,
0.360248131,8.126555001,-0.021938579,135.3433433,-51.17397866,,,,,,
0.311941678,8.140241829,-0.016302826,135.3501269,-51.17399224,,,,,,
0.514828782,8.128165216,-0.018718148,135.3569003,-51.17400784,,,,,,
0.321602968,8.135411184,-0.016302826,135.3636798,-51.17402143,,,,,,
0.297449742,8.132995861,-0.016302826,135.3704573,-51.17403501,,,,,,
0.42304652,8.139436722,-0.013082395,135.3772402,-51.17404592,,,,,,
0.360248131,7.975999888,-0.017107933,135.3838869,-51.17406017,,,,,,
0.321602968,7.979220318,-0.016302826,135.3905362,-51.17407376,,,,,,
0.524490073,7.976804995,-0.014692611,135.3971836,-51.174086,,,,,,
0.292619096,7.985661179,-0.013887503,135.4038383,-51.17409758,,,,,,
0.35058684,7.979220318,-0.021938579,135.4104876,-51.17411586,,,,,,
0.452030392,7.976804995,-0.018718148,135.417135,-51.17413146,,,,,,
0.379570712,7.811757946,-0.016302826,135.4236448,-51.17414504,,,,,,
0.365078776,7.814173269,-0.019523256,135.4301566,-51.17416131,,,,,,
0.398893294,7.814978377,-0.019523256,135.4366691,-51.17417758,,,,,,
0.321602968,7.816588592,-0.012277288,135.4431829,-51.17418781,,,,,,
0.418215875,7.813368161,-0.013082395,135.449694,-51.17419871,,,,,,
0.529320718,7.814173269,-0.013082395,135.4562058,-51.17420962,,,,,,
0.41338523,7.513063043,-0.017107933,135.4624667,-51.17422387,,,,,,
0.331264259,7.512257935,-0.021938579,135.4687269,-51.17424215,,,,,,
0.41338523,7.509037505,-0.018718148,135.4749845,-51.17425775,,,,,,
0.466522328,7.51064772,-0.015497718,135.4812433,-51.17427067,,,,,,
0.418215875,7.50742729,-0.020328363,135.4874995,-51.17428761,,,,,,
0.471352974,7.512257935,-0.018718148,135.4937597,-51.17430321,,,,,,
0.34092555,7.354456854,-0.021938579,135.4998885,-51.17432149,,,,,,
0.495506201,7.348015994,-0.022743686,135.5060118,-51.17434044,,,,,,
0.481014265,7.348015994,-0.016302826,135.5121351,-51.17435403,,,,,,
0.369909422,7.343990456,-0.021133471,135.5182551,-51.17437164,,,,,,
0.374740067,7.349626209,-0.021133471,135.5243798,-51.17438925,,,,,,
0.553473945,7.342380241,-0.013082395,135.5304985,-51.17440015,,,,,,
0.466522328,7.197460881,-0.013887503,135.5364964,-51.17441172,,,,,,
0.379570712,7.192630235,-0.017107933,135.5424902,-51.17442598,,,,,,
0.42304652,7.195850666,-0.018718148,135.5484868,-51.17444158,,,,,,
0.611441689,7.192630235,-0.021938579,135.5544806,-51.17445986,,,,,,
